This file contains the monthly mean baseline (background) nitrous oxide (N2O) concentration
"measured at the Kennaook / Cape Grim Baseline Air Pollution Station (KCGBAPS), "
"located near the north-west tip of Tasmania, Australia."
"KCGBAPS is funded and managed by the Australian Bureau of Meteorology, and"
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Kennaook / Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data
http://www.bom.gov.au/inside/cgbaps/

The N2O units are parts per billion in dry air (ppb).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
"precise measurements possible. However, they reserve the right to make"
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: March 2026
 
YYYY,MM,DD,DATE,N2O(ppb),SD(ppb),GR(ppm/yr),Source
1994,5,15,1994.367123000000,309.698,0.314400,0.529022,"flask"
1994,6,15,1994.452055000000,310.020,0.327500,0.878998,"flask"
1994,7,15,1994.534247000000,310.115,0.232100,1.12799,"flask"
1994,8,15,1994.619178000000,310.180,0.328600,0.924011,"flask"
1994,9,15,1994.704110000000,310.189,0.222600,0.322021,"flask"
1994,10,15,1994.786301000000,310.141,0.321600,0.217987,"flask"
1994,11,15,1994.871233000000,310.183,0.316000,0.415009,"flask"
1994,12,15,1994.953425000000,310.343,0.278400,0.237000,"flask"
1995,1,15,1995.038356000000,310.479,0.328400,0.0760193,"flask"
1995,2,15,1995.123288000000,310.285,0.218100,0.347015,"flask"
1995,3,15,1995.200000000000,309.937,0.339800,0.731995,"flask"
1995,4,15,1995.284932000000,309.857,0.314700,0.816010,"flask"
1995,5,15,1995.367123000000,310.113,0.293000,0.835999,"flask"
1995,6,15,1995.452055000000,310.257,0.272000,0.881012,"flask"
1995,7,15,1995.534247000000,310.191,0.348100,0.730011,"flask"
1995,8,15,1995.619178000000,310.527,0.300800,0.703003,"flask"
1995,9,15,1995.704110000000,310.921,0.226500,0.996979,"flask"
1995,10,15,1995.786301000000,310.957,0.222000,0.977997,"flask"
1995,11,15,1995.871233000000,311.019,0.240700,0.643005,"flask"
1995,12,15,1995.953425000000,311.224,0.264500,0.583008,"flask"
1996,1,15,1996.038251000000,311.209,0.249000,0.843994,"flask"
1996,2,15,1996.122951000000,310.988,0.277200,0.787994,"flask"
1996,3,15,1996.202186000000,310.934,0.182000,0.536011,"flask"
1996,4,15,1996.286885000000,310.835,0.290700,0.579987,"flask"
1996,5,15,1996.368852000000,310.756,0.278300,0.573975,"flask"
1996,6,15,1996.453552000000,310.840,0.316300,0.572998,"flask"
1996,7,15,1996.535519000000,311.035,0.248700,0.779999,"flask"
1996,8,15,1996.620219000000,311.315,0.305000,0.971985,"flask"
1996,9,15,1996.704918000000,311.457,0.314500,1.01401,"flask"
1996,10,15,1996.786885000000,311.537,0.261200,0.933014,"flask"
1996,11,15,1996.871585000000,311.593,0.192700,1.00198,"flask"
1996,12,15,1996.953552000000,311.797,0.199500,1.14200,"flask"
1997,1,15,1997.038356000000,311.989,0.140500,0.936005,"flask"
1997,2,15,1997.123288000000,311.960,0.187200,0.889984,"flask"
1997,3,15,1997.200000000000,311.948,0.368800,1.14200,"flask"
1997,4,15,1997.284932000000,311.768,0.284600,1.23602,"flask"
1997,5,15,1997.367123000000,311.758,0.308200,1.28403,"flask"
1997,6,15,1997.452055000000,311.982,0.319300,1.11899,"flask"
1997,7,15,1997.534247000000,311.971,0.341800,0.910980,"flask"
1997,8,15,1997.619178000000,312.205,0.254200,0.830017,"flask"
1997,9,15,1997.704110000000,312.599,0.225800,0.636017,"flask"
1997,10,15,1997.786301000000,312.773,0.331500,0.734985,"flask"
1997,11,15,1997.871233000000,312.877,0.132200,0.783997,"flask"
1997,12,15,1997.953425000000,312.916,0.267500,0.657013,"flask"
1998,1,15,1998.038356000000,312.900,0.292000,1.00198,"flask"
1998,2,15,1998.123288000000,312.790,0.241700,1.07401,"flask"
1998,3,15,1998.200000000000,312.584,0.221900,0.770996,"flask"
1998,4,15,1998.284932000000,312.503,0.257000,0.694977,"flask"
1998,5,15,1998.367123000000,312.542,0.291500,0.727997,"flask"
1998,6,15,1998.452055000000,312.639,0.370600,0.847015,"flask"
1998,7,15,1998.534247000000,312.973,0.235200,0.925995,"flask"
1998,8,15,1998.619178000000,313.279,0.207000,1.02298,"flask"
1998,9,15,1998.704110000000,313.370,0.263700,1.25699,"flask"
1998,10,15,1998.786301000000,313.468,0.317400,1.23300,"flask"
1998,11,15,1998.871233000000,313.605,0.263400,1.05402,"flask"
1998,12,15,1998.953425000000,313.763,0.165400,1.01099,"flask"
1999,1,15,1999.038356000000,313.826,0.325900,0.835022,"flask"
1999,2,15,1999.123288000000,313.813,0.246000,0.718018,"flask"
1999,3,15,1999.200000000000,313.841,0.325800,0.868011,"flask"
1999,4,15,1999.284932000000,313.736,0.208100,0.907013,"flask"
1999,5,15,1999.367123000000,313.596,0.268100,0.776001,"flask"
1999,6,15,1999.452055000000,313.650,0.263500,0.799988,"flask"
1999,7,15,1999.534247000000,313.808,0.137700,0.934021,"flask"
1999,8,15,1999.619178000000,313.997,0.233700,0.852020,"flask"
1999,9,15,1999.704110000000,314.238,0.330500,0.705994,"flask"
1999,10,15,1999.786301000000,314.375,0.186900,0.735992,"flask"
1999,11,15,1999.871233000000,314.381,0.248200,0.966980,"flask"
1999,12,15,1999.953425000000,314.563,0.233300,1.13800,"flask"
2000,1,15,2000.038251000000,314.760,0.233200,0.981995,"flask"
2000,2,15,2000.122951000000,314.665,0.270700,0.782990,"flask"
2000,3,15,2000.202186000000,314.547,0.278400,0.747986,"flask"
2000,4,15,2000.286885000000,314.472,0.592500,0.770996,"flask"
2000,5,15,2000.368852000000,314.563,0.373900,0.906982,"flask"
2000,6,15,2000.453552000000,314.788,0.0880000,0.831024,"flask"
2000,7,15,2000.535519000000,314.790,0.305900,0.545990,"flask"
2000,8,15,2000.620219000000,314.780,0.163600,0.476990,"flask"
2000,9,15,2000.704918000000,314.986,0.302200,0.384003,"flask"
2000,10,15,2000.786885000000,315.146,0.278500,0.302002,"flask"
2000,11,15,2000.871585000000,315.288,0.182100,0.365021,"flask"
2000,12,15,2000.953552000000,315.394,0.135300,0.385010,"flask"
2001,1,15,2001.038356000000,315.306,0.231200,0.506989,"flask"
2001,2,15,2001.123288000000,315.142,0.111700,0.669006,"flask"
2001,3,15,2001.200000000000,314.931,0.273000,0.727997,"flask"
2001,4,15,2001.284932000000,314.774,0.226400,0.704010,"flask"
2001,5,15,2001.367123000000,314.928,0.108200,0.597992,"flask"
2001,6,15,2001.452055000000,315.173,0.240100,0.617981,"flask"
2001,7,15,2001.534247000000,315.297,0.172500,0.794006,"flask"
2001,8,15,2001.619178000000,315.449,0.259200,0.962006,"flask"
2001,9,15,2001.704110000000,315.714,0.240600,1.00500,"flask"
2001,10,15,2001.786301000000,315.850,0.204700,1.02200,"flask"
2001,11,15,2001.871233000000,315.886,0.136200,0.911987,"flask"
2001,12,15,2001.953425000000,316.012,0.172700,0.919006,"flask"
2002,1,15,2002.038356000000,316.100,0.164600,0.953003,"flask"
2002,2,15,2002.123288000000,316.104,0.335400,0.774994,"flask"
2002,3,15,2002.200000000000,315.936,0.193300,0.455017,"flask"
2002,4,15,2002.284932000000,315.796,0.186700,0.354004,"flask"
2002,5,15,2002.367123000000,315.840,0.235500,0.345001,"flask"
2002,6,15,2002.452055000000,316.092,0.251800,0.162018,"flask"
2002,7,15,2002.534247000000,316.250,0.381100,0.208984,"flask"
2002,8,15,2002.619178000000,316.224,0.134800,0.252991,"flask"
2002,9,15,2002.704110000000,316.169,0.126400,0.276001,"flask"
2002,10,15,2002.786301000000,316.204,0.210600,0.455017,"flask"
2002,11,15,2002.871233000000,316.231,0.182600,0.639008,"flask"
2002,12,15,2002.953425000000,316.174,0.265100,0.437988,"flask"
2003,1,15,2003.038356000000,316.309,0.150400,0.269989,"flask"
2003,2,15,2003.123288000000,316.357,0.368100,0.290009,"flask"
2003,3,15,2003.200000000000,316.212,0.202400,0.492981,"flask"
2003,4,15,2003.284932000000,316.251,0.247500,0.673004,"flask"
2003,5,15,2003.367123000000,316.479,0.265200,0.828003,"flask"
2003,6,15,2003.452055000000,316.530,0.298000,1.23599,"flask"
2003,7,15,2003.534247000000,316.520,0.00740000,1.20200,"flask"
2003,8,15,2003.619178000000,316.514,0.512800,0.886993,"flask"
2003,9,15,2003.704110000000,316.662,0.442100,0.910004,"flask"
2003,10,15,2003.786301000000,316.877,0.352200,0.808990,"flask"
2003,11,15,2003.871233000000,317.059,0.174000,0.553009,"flask"
2003,12,15,2003.953425000000,317.410,0.317700,0.562012,"flask"
2004,1,15,2004.038251000000,317.511,0.334100,0.725006,"flask"
2004,2,15,2004.122951000000,317.244,0.212100,1.17200,"flask"
2004,3,15,2004.202186000000,317.122,0.146100,1.15100,"flask"
2004,4,15,2004.286885000000,317.060,0.103300,0.784973,"flask"
2004,5,15,2004.368852000000,317.032,0.0891000,0.649017,"flask"
2004,6,15,2004.453552000000,317.092,0.324500,0.316986,"flask"
2004,7,15,2004.535519000000,317.245,0.133000,0.471008,"flask"
2004,8,15,2004.620219000000,317.686,0.263400,0.772003,"flask"
2004,9,15,2004.704918000000,317.813,0.200800,0.252991,"flask"
2004,10,15,2004.786885000000,317.662,0.122800,0.0369873,"flask"
2004,11,15,2004.871585000000,317.708,0.179700,0.614990,"flask"
2004,12,15,2004.953552000000,317.727,0.503200,0.957977,"flask"
2005,1,15,2005.038356000000,317.982,0.496900,0.705017,"flask"
2005,2,15,2005.123288000000,318.016,0.134700,0.398010,"flask"
2005,3,15,2005.200000000000,317.375,0.350100,0.546997,"flask"
2005,4,15,2005.284932000000,317.097,0.0799000,0.848999,"flask"
2005,5,15,2005.367123000000,317.647,0.210500,1.13998,"flask"
2005,6,15,2005.452055000000,318.050,0.279700,1.06500,"flask"
2005,7,15,2005.534247000000,317.950,0.288300,0.580994,"flask"
2005,8,15,2005.619178000000,318.084,0.329700,0.661011,"flask"
2005,9,15,2005.704110000000,318.360,0.456800,1.29099,"flask"
2005,10,15,2005.786301000000,318.511,0.471500,1.39401,"flask"
2005,11,15,2005.871233000000,318.848,0.0903000,0.839996,"flask"
2005,12,15,2005.953425000000,318.792,0.425800,0.577026,"flask"
2006,1,15,2006.038356000000,318.563,0.0361000,0.778992,"flask"
2006,2,15,2006.123288000000,318.677,0.0399000,0.938995,"flask"
2006,3,15,2006.200000000000,318.666,0.331800,0.943024,"flask"
2006,4,15,2006.284932000000,318.491,0.307000,0.776001,"flask"
2006,5,15,2006.367123000000,318.487,0.151300,0.544006,"flask"
2006,6,15,2006.452055000000,318.627,0.0533000,0.718994,"flask"
2006,7,15,2006.534247000000,318.729,0.0625000,0.843018,"flask"
2006,8,15,2006.619178000000,319.023,0.203600,0.643005,"flask"
2006,9,15,2006.704110000000,319.303,0.0319000,0.644012,"flask"
2006,10,15,2006.786301000000,319.287,0.272500,0.670013,"flask"
2006,11,15,2006.871233000000,319.392,0.242200,0.411987,"flask"
2006,12,15,2006.953425000000,319.511,0.124000,0.316986,"flask"
2007,1,15,2007.038356000000,319.406,0.335600,0.496002,"flask"
2007,2,15,2007.123288000000,319.320,0.00840000,0.535004,"flask"
2007,3,15,2007.200000000000,319.310,0.199400,0.533997,"flask"
2007,4,15,2007.284932000000,319.161,0.0806000,0.671021,"flask"
2007,5,15,2007.367123000000,318.899,0.242800,0.828003,"flask"
2007,6,15,2007.452055000000,318.944,0.114800,0.704010,"flask"
2007,7,15,2007.534247000000,319.225,0.0952000,0.604004,"flask"
2007,8,15,2007.619178000000,319.558,0.151400,1.13098,"flask"
2007,9,15,2007.704110000000,319.837,0.0852000,1.43399,"flask"
2007,10,15,2007.786301000000,319.958,0.308500,1.38098,"flask"
2007,11,15,2007.871233000000,320.220,0.249700,1.56900,"flask"
2007,12,15,2007.953425000000,320.215,0.110900,1.57101,"flask"
2008,1,15,2008.038251000000,320.010,0.100400,1.43900,"flask"
2008,2,15,2008.122951000000,320.451,0.359800,1.28299,"flask"
2008,3,15,2008.202186000000,320.744,0.0337000,1.10001,"flask"
2008,4,15,2008.286885000000,320.542,0.405300,1.17899,"flask"
2008,5,15,2008.368852000000,320.468,0.0864000,1.22699,"flask"
2008,6,15,2008.453552000000,320.515,0.674000,1.19800,"flask"
2008,7,15,2008.535519000000,320.664,0.140600,1.30698,"flask"
2008,8,15,2008.620219000000,320.841,0.146600,1.06900,"flask"
2008,9,15,2008.704918000000,320.937,0.334300,0.537018,"flask"
2008,10,15,2008.786885000000,321.137,0.0919000,0.281006,"flask"
2008,11,15,2008.871585000000,321.447,0.0933000,0.432007,"flask"
2008,12,15,2008.953552000000,321.413,0.377700,0.625977,"flask"
2009,1,15,2009.038356000000,321.317,0.0479000,0.627991,"flask"
2009,2,15,2009.123288000000,321.520,0.0368000,0.669006,"flask"
2009,3,15,2009.200000000000,321.281,0.179800,0.626984,"flask"
2009,4,15,2009.284932000000,320.823,0.160100,0.645996,"flask"
2009,5,15,2009.367123000000,320.900,0.333700,0.690002,"flask"
2009,6,15,2009.452055000000,321.141,0.187200,0.727020,"flask"
2009,7,15,2009.534247000000,321.292,0.418500,0.919006,"flask"
2009,8,15,2009.619178000000,321.510,0.190600,0.825012,"flask"
2009,9,15,2009.704110000000,321.564,0.130200,0.832001,"flask"
2009,10,15,2009.786301000000,321.783,0.124100,0.972015,"flask"
2009,11,15,2009.871233000000,322.137,0.271200,0.843994,"flask"
2009,12,15,2009.953425000000,322.140,0.219800,0.988007,"flask"
2010,1,15,2010.038356000000,322.236,0.0654000,1.17401,"flask"
2010,2,15,2010.123288000000,322.345,0.0241000,0.974976,"flask"
2010,3,15,2010.200000000000,322.113,0.104100,1.11801,"flask"
2010,4,15,2010.284932000000,321.795,0.0713000,1.18500,"flask"
2010,5,15,2010.367123000000,321.744,0.0582000,1.09702,"flask"
2010,6,15,2010.452055000000,322.129,0.211700,1.36298,"flask"
2010,7,15,2010.534247000000,322.466,0.0529000,1.10800,"flask"
2010,8,15,2010.619178000000,322.485,0.109100,0.700012,"flask"
2010,9,15,2010.704110000000,322.682,0.0927000,1.00101,"flask"
2010,10,15,2010.786301000000,322.968,0.0700000,1.41699,"flask"
2010,11,15,2010.871233000000,323.234,0.0937000,1.36600,"flask"
2010,12,15,2010.953425000000,323.503,0.0499000,0.911011,"flask"
2011,1,15,2011.038356000000,323.344,0.114000,0.513000,"flask"
2011,2,15,2011.123288000000,323.045,0.0398000,0.676025,"flask"
2011,3,15,2011.200000000000,323.114,0.0576000,0.815002,"flask"
2011,4,15,2011.284932000000,323.212,0.0149000,0.695007,"flask"
2011,5,15,2011.367123000000,323.110,0.0331000,0.588989,"flask"
2011,6,15,2011.452055000000,323.040,0.130800,0.443024,"flask"
2011,7,15,2011.534247000000,322.979,0.307900,0.886993,"flask"
2011,8,15,2011.619178000000,323.161,0.109200,1.12500,"flask"
2011,9,15,2011.704110000000,323.497,0.310200,0.636993,"flask"
2011,10,15,2011.786301000000,323.663,0.0475000,0.582001,"flask"
2011,11,15,2011.871233000000,323.823,0.0943000,1.04602,"flask"
2011,12,15,2011.953425000000,323.946,0.0594000,1.20499,"flask"
2012,1,15,2012.038251000000,324.231,0.145800,1.16800,"flask"
2012,2,15,2012.122951000000,324.170,0.114400,1.24500,"flask"
2012,3,15,2012.202186000000,323.751,0.327800,1.18799,"flask"
2012,4,15,2012.286885000000,323.794,0.0964000,1.12302,"flask"
2012,5,15,2012.368852000000,324.156,0.108600,1.22501,"flask"
2012,6,15,2012.453552000000,324.245,0.0344000,1.13397,"flask"
2012,7,15,2012.535519000000,324.147,0.119900,0.696014,"flask"
2012,8,15,2012.620219000000,324.406,0.178000,0.718994,"flask"
2012,9,15,2012.704918000000,324.685,0.203300,1.07199,"flask"
2012,10,15,2012.786885000000,324.786,0.0805000,1.01401,"flask"
2012,11,15,2012.871585000000,325.048,0.159400,0.588989,"flask"
2012,12,15,2012.953552000000,325.080,0.199200,0.699005,"flask"
2013,1,15,2013.038356000000,324.927,0.457900,1.21100,"flask"
2013,2,15,2013.123288000000,324.889,0.192900,0.984009,"flask"
2013,3,15,2013.200000000000,324.823,0.0153000,0.842010,"flask"
2013,4,15,2013.284932000000,324.808,0.322600,0.910004,"flask"
2013,5,15,2013.367123000000,324.745,0.0980000,0.550995,"flask"
2013,6,15,2013.452055000000,324.944,0.131300,0.369019,"flask"
2013,7,15,2013.534247000000,325.358,0.0744000,0.506989,"flask"
2013,8,15,2013.619178000000,325.390,0.258700,0.744995,"flask"
2013,9,15,2013.704110000000,325.527,0.154900,0.800995,"flask"
2013,10,15,2013.786301000000,325.696,0.483500,0.689972,"flask"
2013,11,15,2013.871233000000,325.599,0.205300,0.867004,"flask"
2013,12,15,2013.953425000000,325.449,0.458400,0.992004,"flask"
2014,1,15,2014.038356000000,325.434,0.108100,0.894012,"flask"
2014,2,15,2014.123288000000,325.634,0.0593000,1.11298,"flask"
2014,3,15,2014.200000000000,325.624,0.201500,1.07199,"flask"
2014,4,15,2014.284932000000,325.498,0.163300,0.907990,"flask"
2014,5,15,2014.367123000000,325.612,0.274900,1.32999,"flask"
2014,6,15,2014.452055000000,325.936,0.245200,1.70300,"flask"
2014,7,15,2014.534247000000,326.252,0.0787000,1.74600,"flask"
2014,8,15,2014.619178000000,326.503,0.309200,1.42300,"flask"
2014,9,15,2014.704110000000,326.599,0.126000,1.22501,"flask"
2014,10,15,2014.786301000000,326.604,0.294600,1.41400,"flask"
2014,11,15,2014.871233000000,326.929,0.226200,1.42899,"flask"
2014,12,15,2014.953425000000,327.152,0.338400,1.25299,"flask"
2015,1,15,2015.038356000000,327.180,0.212300,1.17297,"flask"
2015,2,15,2015.123288000000,327.057,0.0942000,1.03101,"flask"
2015,3,15,2015.200000000000,326.849,0.268900,0.951996,"flask"
2015,4,15,2015.284932000000,326.912,0.280500,0.912994,"flask"
2015,5,15,2015.367123000000,327.041,0.166400,0.690002,"flask"
2015,6,15,2015.452055000000,327.189,0.132800,0.757996,"flask"
2015,7,15,2015.534247000000,327.425,0.175900,0.809021,"flask"
2015,8,15,2015.619178000000,327.534,0.274300,0.800995,"flask"
2015,9,15,2015.704110000000,327.551,0.145100,0.875000,"flask"
2015,10,15,2015.786301000000,327.517,0.109200,0.625000,"flask"
2015,11,15,2015.871233000000,327.619,0.177200,0.477020,"flask"
2015,12,15,2015.953425000000,327.910,0.270900,0.464020,"flask"
2016,1,15,2016.038251000000,327.989,0.249300,0.304016,"flask"
2016,2,15,2016.122951000000,327.858,0.159300,0.533997,"flask"
2016,3,15,2016.202186000000,327.724,0.184800,0.852020,"flask"
2016,4,15,2016.286885000000,327.537,0.222800,0.832001,"flask"
2016,5,15,2016.368852000000,327.518,0.311700,0.727020,"flask"
2016,6,15,2016.453552000000,327.653,0.234700,0.563995,"flask"
2016,7,15,2016.535519000000,327.729,0.171000,0.466980,"flask"
2016,8,15,2016.620219000000,328.068,0.234000,0.307007,"flask"
2016,9,15,2016.704918000000,328.403,0.322500,0.316010,"flask"
2016,10,15,2016.786885000000,328.349,0.215200,0.737000,"flask"
2016,11,15,2016.871585000000,328.346,0.103400,1.02499,"flask"
2016,12,15,2016.953552000000,328.474,0.163300,1.08698,"flask"
2017,1,15,2017.038356000000,328.456,0.214200,1.13501,"flask"
2017,2,15,2017.123288000000,328.165,0.290000,0.988007,"flask"
2017,3,15,2017.200000000000,328.040,0.0332000,0.987976,"flask"
2017,4,15,2017.284932000000,328.274,0.208000,1.18100,"flask"
2017,5,15,2017.367123000000,328.543,0.310500,1.30600,"flask"
2017,6,15,2017.452055000000,328.740,0.259100,1.36600,"flask"
2017,7,15,2017.534247000000,328.864,0.449300,1.44901,"flask"
2017,8,15,2017.619178000000,329.056,0.258300,1.70798,"flask"
2017,9,15,2017.704110000000,329.391,0.298200,1.89499,"flask"
2017,10,15,2017.786301000000,329.530,0.248400,1.79300,"flask"
2017,11,15,2017.871233000000,329.652,0.173100,1.40201,"flask"
2017,12,15,2017.953425000000,329.840,0.247400,1.29800,"flask"
2018,1,15,2018.038356000000,329.905,0.194400,1.48099,"flask"
2018,2,15,2018.123288000000,329.873,0.0601000,1.48199,"flask"
2018,3,15,2018.200000000000,329.935,0.288400,1.41101,"flask"
2018,4,15,2018.284932000000,330.067,0.216100,1.28299,"flask"
2018,5,15,2018.367123000000,329.945,0.0431000,1.07300,"flask"
2018,6,15,2018.452055000000,330.038,0.428700,1.15100,"flask"
2018,7,15,2018.534247000000,330.345,0.333200,1.12302,"flask"
2018,8,15,2018.619178000000,330.538,0.193400,0.796021,"flask"
2018,9,15,2018.704110000000,330.802,0.145800,0.574005,"flask"
2018,10,15,2018.786301000000,330.813,0.0806000,0.544006,"flask"
2018,11,15,2018.871233000000,330.725,0.270300,0.690979,"flask"
2018,12,15,2018.953425000000,330.991,0.571300,0.575012,"flask"
2019,1,15,2019.038356000000,331.028,0.406900,0.346008,"flask"
2019,2,15,2019.123288000000,330.669,0.282200,0.298004,"flask"
2019,3,15,2019.200000000000,330.509,0.260300,0.325989,"flask"
2019,4,15,2019.284932000000,330.611,0.164400,0.630005,"flask"
2019,5,15,2019.367123000000,330.636,0.0719000,0.824982,"flask"
2019,6,15,2019.452055000000,330.613,0.163400,0.470001,"flask"
2019,7,15,2019.534247000000,330.691,0.113100,0.414978,"flask"
2019,8,15,2019.619178000000,330.836,0.0613000,0.755005,"flask"
2019,9,15,2019.704110000000,331.128,0.217800,0.675995,"flask"
2019,10,15,2019.786301000000,331.443,0.193900,0.605011,"flask"
2019,11,15,2019.871233000000,331.550,0.199400,0.801025,"flask"
2019,12,15,2019.953425000000,331.461,0.288200,1.03299,"flask"
2020,1,15,2020.038251000000,331.443,0.290200,1.23099,"flask"
2020,2,15,2020.122951000000,331.424,0.270900,1.26199,"flask"
2020,3,15,2020.202186000000,331.185,0.383300,1.18002,"flask"
2020,4,15,2020.286885000000,331.216,0.221900,1.10800,"flask"
2020,5,15,2020.368852000000,331.437,0.233100,1.10202,"flask"
2020,6,15,2020.453552000000,331.646,0.281100,1.19400,"flask"
2020,7,15,2020.535519000000,331.922,0.288700,1.33002,"flask"
2020,8,15,2020.620219000000,332.098,0.424400,1.45499,"flask"
2020,9,15,2020.704918000000,332.308,0.208200,1.53699,"flask"
2020,10,15,2020.786885000000,332.551,0.189100,1.75299,"flask"
2020,11,15,2020.871585000000,332.652,0.224300,1.76498,"flask"
2020,12,15,2020.953552000000,332.655,0.350500,1.35501,"flask"
2021,1,15,2021.038356000000,332.773,0.0627000,1.32901,"flask"
2021,2,15,2021.123288000000,332.879,0.226800,1.34500,"flask"
2021,3,15,2021.200000000000,332.722,0.354200,1.27899,"flask"
2021,4,15,2021.284932000000,332.969,0.430200,1.44501,"flask"
2021,5,15,2021.367123000000,333.202,0.363800,1.58798,"flask"
2021,6,15,2021.452055000000,333.001,0.0743000,1.82901,"flask"
2021,7,15,2021.534247000000,333.251,0.180100,1.88400,"flask"
2021,8,15,2021.619178000000,333.443,0.143400,1.70200,"flask"
2021,9,15,2021.704110000000,333.587,0.295500,1.85703,"flask"
